Test Case Identifier,Step No,Action,Data,Expected Result,Priority,Test Summary,Description,TestSet,TestPlan,Sprint,Assignee,Componente,Label,Label,Label,Label
MMCS - 37731 - 05,8,Dar clic al botón Buscar,,El sistema empieza a realizar la búsqueda de información con base a los filtros seleccionados,P1,,,,,,,,,,,
MMCS - 37731 - 05,9,Validar esqueleto de búsqueda,,"El sistema muestra esqueleto de búsqueda mientras termina la consulta
Se visualiza formato de tabla durante la carga de información",P1,,,,,,,,,,,
MMCS - 37777 - 01,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-19-37777-01 - Reportes - Sábana eComm - Botón,,MMCS-39627,MMCS-39591,312171,vn57rn3,PCS_Kraken 2025,DA_AX,DEV,SP-KR-27,TC-Compass
MMCS - 37731 - 01,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,,,,,,,
MMCS - 37731 - 01,3,Seleccionar la pestaña de Reportes,,"Se visualiza correctamente la pantalla de Compass - Kraken - Reportes, mostrando las siguientes pestañas disponibles:
Resumen Ejecutivo
Reportes especiales
Sam's
Sabana de precios
Sábana eCommerce
Best Sellers
Eventos",P1,,,,,,,,,,,
MMCS - 37731 - 01,4,Seleccionar la pestaña Sábana eCommerce,,"El sistema muestra la pestaña de Sábana eCommerce con los siguientes datos:
- Bóton Sábana eComm",P1,,,,,,,,,,,
MMCS - 37731 - 01,5,Validar botón Sábana eComm,,Se visualiza correctamente el botón,P1,,,,,,,,,,,
MMCS - 37777 - 02,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes Opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalización
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-19-37777-02- Reportes - Sábana eComm - Leyenda al Generar el Reporte,,MMCS-39627,MMCS-39591,312171,vn57rn3,PCS_Kraken 2025,DA_AX,DEV,SP-KR-27,TC-Compass
MMCS - 37777 - 02,2,Seleccionar la Opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes Opciones:

Kraken",P1,,,,,,,,,,,
MMCS - 37777 - 02,3,Seleccionar la pestaña de Reportes,,"Se visualiza correctamente la pantalla de Compass - Kraken - Reportes, mostrando las siguientes pestañas disponibles:
Resumen Ejecutivo
Reportes especiales
Sam's
Sabana de precios
Sábana eCommerce
Best Sellers
Eventos",P1,,,,,,,,,,,
