Test Case Identifier,Step No,Step Data,Data,Expected Result,Priority,Test Summary,Description,Estatus,TestSet,Sprint,Story,Assignee,Componente,Label,Label,Label,Label
MMCS - 35522 - 03,7,Dar clic al boton Aplicar,,"El sistema realiza la seleccion correctamente y se habilita el boton Buscar
Tambien se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,MMCS-36886,bug_mejoras_kraken,MMCS-35522,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35522 - 03,8,Dar clic a la pestana de Cancelaciones solicitadas,,"El sistema realiza correctamente el cambio de pestana pero al no haber realizado la busqueda solo se muestra el mensaje: ""Aqui se visualizaran los datos"" o en su defecto el mensaje: ""No se han encontrado resultados""",P1,,,,MMCS-36886,bug_mejoras_kraken,MMCS-35522,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35522 - 03,9,Dar clic al boton Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con exito"" y la pestana Cancelaciones Solicitadas mostrando la siguente Informacion:

- Descripcion: ""Las cancelaciones aprobadas regresaran a Sugerencias. Las cancelaciones rechazadas continuaran como Matches activos."" 
- boton Descargar Resultados
- boton Pantalla Completa
- Leyenda Cancelaciones Solicitadas
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opcion Top Venta
- Campo de Texto Buscar por Descripcion o UPC
- Informacion de articulos con los siguientes campos:
   a) Descripcion Walmart
   b) UPC Walmart
   c) Articulos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripcion Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Tipo de Match
   k) Autorizo
   l) Fecha Match
   m) Precio Walmart
   n) Precio Competidor
   o) Motivo de Cancelacion
   p) Solicita
   q) Fecha Solicitud
   r) URL
   s) Acciones
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginacion",P1,,,,MMCS-36886,bug_mejoras_kraken,MMCS-35522,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35522 - 03,10,Nevegar por la tabla de resultados,,Se permite manipular y visualizar correctamente la informacion obtenida,P1,,,,MMCS-36886,bug_mejoras_kraken,MMCS-35522,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
